VoIP Provider,Description,URL,Image logo URL,Amount of ratings,Amount of reviews,Most rated review,Score
Solgari Cloud Communications,Solgari Cloud Communications is a unified communications offering from Solgari.,https://www.trustradius.com/products/solgari-cloud-communications/reviews,https://media.trustradius.com/product-logos/p6/T1/UBXCUNA0111R.jpeg,1 rating,1 review,We used it extensively across our Sales Team. We had a recent weather event where our sales team were unable to get into the office. They all used Solgari from home and were able to do all their sales calls. I love the flexibility and cloud base of the technology.,9.9
Intermedia Unite,"Intermedia Unite is a unified communications option and collaboration platform for SMBs, providing a PBX phone system, vide and web conferencing with screen sharing, chat, and file management and sharing.",https://www.trustradius.com/products/intermedia-unite/reviews,https://media.trustradius.com/product-logos/ap/Bo/AUT9WUQ2T2NF-180x180.PNG,1 rating,1 review,"We needed to scale our remote workers quickly, for a fixed fee per user, and be able to downscale at a moments notice without contracts. Intermedia [Unite] was the perfect solution! Great product and service for a phone system for remote workers.",8.0
CallHippo,CallHippo is an on-demand Voice-over-Internet Protocol (VoIP) based Virtual Phone System. CallHippo allows startups and businesses to get local phone numbers instantly from over 50+ countries around the world. The vendor says the easy to use interface and robust backend architecture enables business…,https://www.trustradius.com/products/callhippo/reviews,https://media.trustradius.com/product-logos/9o/cn/38PVE25GQ52N-180x180.PNG,0 ratings,1 review,"CallHippo is a comprehensive cloud-based business VoIP solution. It offers enterprise grade phone service, contact centers, customization and more to help companies in almost any industry to optimize their communications. It amazed me that CallHippo thinks about callers and customers with such a deep root. Time Zone feature in dialer lets us know the time zone of the specific country. So, we can decide whether it is right time to call or not.",10.0
8x8 Express,"8x8 Express is a cloud-based phone system that includes unlimited calling within the U.S and Canada, HD video conferencing, business SMS and team chat. It comes pre-configured and can be set up so that a business can start making and receiving calls in less than 5 minutes. It includes a dedicated bu…",https://www.trustradius.com/products/8x8-express/reviews,https://media.trustradius.com/product-logos/mE/ks/LA0T493UNDFL-180x180.PNG,7 ratings,1 review,"We are currently using it in our sales department, trainers and reception area. It is an invaluable resource. We get calls throughout the day and if we don’t answer we lose sales. This enables us to connect with each call and the call forwarding option has been particularly useful so we don’t miss a beat.",7.4
Phone.com,"Phone.com is a cloud based VoIP from the company of the same name in Newark, New Jersey.",https://www.trustradius.com/products/phone-com/reviews,https://media.trustradius.com/product-logos/1C/HC/RCO9T9ACIVQB.jpeg,0 ratings,1 review,"We use, sell and maintain phone.com for ourselves and our clients. We are a phone.com partner and have successfully deployed the service and hardware to over 15 sites so far this year. It is generally used by entire organizations VS being used in specific departments. It has addressed many business problems such as cost, availability, customization, and scalability. Being a partner gets us priority support and phone.com stands behind us during any issues.",10.0
CloudCall,CloudCall is a telephony and VoIP software solution from the British company of the same name (formerly SYNETY).,https://www.trustradius.com/products/cloudcall/reviews,https://media.trustradius.com/vendor-logos/m3/lz/Z741D3DZU0PH-180x180.PNG,1 rating,1 review,"CloudCall is our phone system for the entire organization. We all work remotely, so it helps address the issues of not being next to each other. It allows us to reduce office equipment since it does have an app as well as can be used on the computer.",8.0
Vertical Wave IP,"Wave IP from Vertical Communications in Santa Clara, California is a unified communications platform.",https://www.trustradius.com/products/vertical-wave-ip/reviews,https://media.trustradius.com/product-logos/vB/8P/LIQA232F4KZQ.jpeg,1 rating,1 review,"Both our stores are using vertical, we're able to mesh the two systems together through PTP routers and software built into wave IP to create a seamless system.",9.2
HERO Hosted PBX,HERO Hosted PBX is a telephony and VoIP software solution from Dialexia.,https://www.trustradius.com/products/hero-hosted-pbx/reviews,https://media.trustradius.com/product-logos/3l/Xp/0N54X1TS2CD7.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Foiply,Foiply is a telephony and VoIP software solution from Foiply.,https://www.trustradius.com/products/foiply/reviews,https://media.trustradius.com/product-logos/07/K7/M0OHMIX308CC.octet-stream,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Phone Power,Phone Power is a telephony and VoIP software solution from Fabasoft Cloud GmbH.,https://www.trustradius.com/products/phone-power/reviews,https://media.trustradius.com/vendor-logos/VB/ta/RG92FH2MOLTJ-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
HERO Hospitality PBX,HERO Hospitality PBX is a telephony and VoIP software solution from Dialexia.,https://www.trustradius.com/products/hero-hospitality-pbx/reviews,https://media.trustradius.com/product-logos/zo/DC/8CMUHE7EZISG.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
ChoiceView Live Agent,ChoiceView Live Agent is a telephony and VoIP software solution from Radish Systems.,https://www.trustradius.com/products/choiceview-live-agent/reviews,https://media.trustradius.com/product-logos/Xd/qp/SHK2UG9TVTTG.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
RTW Voice,RTW Voice is a telephony and VoIP software solution from Road To Work Hosting.,https://www.trustradius.com/products/rtw-voice/reviews,https://media.trustradius.com/product-logos/eo/GY/J48OHOFMV0ST.gif,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Zello for Work,"Zello for Work is designed to turn any smartphone into a user-friendly push-to-talk (PTT) device on any network. This can be done with the user’s existing smartphones or ruggedized devices.  Zello users can speak in groups or to direct contacts, decreasing nonessential noise in the work environment.…",https://www.trustradius.com/products/zello-for-work/reviews,https://media.trustradius.com/product-logos/LK/C1/3AQJI2O8BBT0-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Super Receptionist,Super Receptionist is a telephony and VoIP software solution from Knowlarity Communications.,https://www.trustradius.com/products/super-receptionist/reviews,https://media.trustradius.com/product-logos/I8/zl/FQV8HVLUK42M.jpeg,0 Ratings,0 Reviews,No Reviews Found,No Score Found
IceWarp,"IceWarp, from the company of the same name headquartered in Springfield, Virginia, is an email applications and unified communications offering.",https://www.trustradius.com/products/icewarp/reviews,https://media.trustradius.com/product-logos/Tr/wD/6ETGHC8L1RQF.jpeg,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Fathom Connect,"Fathom Connect is a cloud based phone system with no hardware. The network is mirrored across servers spread across the United States and internationally. The vendor says this approach guarantees 99.99% uptime for their customers. 

Fathom Connect pricing is straightforward with no hidden fees.  Pla…",https://www.trustradius.com/products/fathom-connect/reviews,https://media.trustradius.com/vendor-logos/M1/T1/TPTAPVZUVXO7-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Phonedeck,"Phonedeck is a solution that integrates
mobile telephony into CRM systems like Salesforce or Oracle. It is a mobile CTI solution that lets users control their
smartphone inside the CRM system and track their mobile calls. Phonedeck is
available for Salesforce and Oracle users.Phonedeck supports sale…",https://www.trustradius.com/products/phonedeck-for-salesforce/reviews,https://media.trustradius.com/vendor-logos/uN/Xx/TQOXZWPVSPJJ-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
MessageMedia SMS,"With 90 per cent of messages read within 90 seconds and more than 65,000 customers worldwide, MessageMedia aims to drive business success by creating engaging mobile experiences that customers love. The vendor boasts users across all industries who use their SMS services, including retail, hospitali…",https://www.trustradius.com/products/messagemedia-sms/reviews,https://media.trustradius.com/product-logos/RO/W3/BTTG9T37THZZ-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Adtran NetVanta,"Adtran, headquartered in Huntsville, Alabama, offers NetVanta, a suite of products including IP communication platforms.",https://www.trustradius.com/products/adtran-netvanta/reviews,https://media.trustradius.com/product-logos/sj/i3/LQS9XM01DML6.jpeg,0 Ratings,0 Reviews,No Reviews Found,No Score Found
OpenScape Voice,"OpenScape Voice, formerly Siemens OpenScape, from German headquartered company Unify (a collaboration betweem Siemens AG and the Gores Group) is a unified communications platform with VoIP.",https://www.trustradius.com/products/openscape-voice/reviews,https://media.trustradius.com/vendor-logos/5N/A7/7RX2SF5X2KVD-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Tata Unified Communications,"Tata Communications is a modular unified communication platform for global voice, unified conferencing, managed services, and communication APIs through its tier-1 IP netework available in five continents.",https://www.trustradius.com/products/tata-unified-communications/reviews,https://media.trustradius.com/vendor-logos/9d/Ph/EI24Z9N3FB7C-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
TeleWare IP Telephony and Unified Communications,"UK company's TeleWare's IP Telephony and Unified Communications is a unified communications platform, as the name would suggest.",https://www.trustradius.com/products/teleware-ip-telephony-and-unified-communications/reviews,https://media.trustradius.com/product-logos/J9/hD/2MRK3A2IINJR.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
VoiceLink,VoiceLink is a telephony and VoIP software solution from Voice Link.,https://www.trustradius.com/products/voicelink/reviews,https://media.trustradius.com/product-logos/Q0/7N/2IIJLIT0B8RA.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Telonium,Telonium is a telephony and VoIP software solution from Telonium.,https://www.trustradius.com/products/telonium/reviews,https://media.trustradius.com/product-logos/qw/gv/AZ6TB0GCJB37.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Net2Phone,"Net2Phone is a VoIP solutions provider headdquartered in Newark, whose services include Hosted PBX, unified communications for remote workforces including live calling, live chat, and also web conferencing through their Huddle app available now in beta release, Microsoft Teams direct routing, and SI…",https://www.trustradius.com/products/net2phone/reviews,https://media.trustradius.com/vendor-logos/ts/hp/B8C2NEP94QVI-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
vocalnet,vocalnet is a telephony and VoIP software solution from VocalNet.,https://www.trustradius.com/products/vocalnet/reviews,https://media.trustradius.com/product-logos/bQ/YS/TUAV2SADPBL5.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
ActivePBX,"ActivePBX is a telephony and VoIP software solution from ActiveServe, Inc.",https://www.trustradius.com/products/activepbx/reviews,https://media.trustradius.com/product-logos/DW/4L/ABM14T7GHSVE.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
K7,K7 is a telephony and VoIP software solution from International Telcom LTD.,https://www.trustradius.com/products/k7/reviews,https://media.trustradius.com/product-logos/UE/ZX/9QWN4Q96GH4C.jpeg,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Cogi Call Recording,"Cogi Call Recording is a telephony and VoIP software solution from Cogi, Inc.",https://www.trustradius.com/products/cogi-call-recording/reviews,https://media.trustradius.com/product-logos/Jj/Zi/56FHCBT5R4LF.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Toshiba Strata CIX,"Toshiba's Strata CIX is an IP communications platform that supports legacy digital technology as well, for companies that want to continue using legacy equipment or move to an IP based model in a less total and immediate fashion.",https://www.trustradius.com/products/toshiba-strata-cix/reviews,https://media.trustradius.com/vendor-logos/zA/8a/2JXKPG7TDGUG-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
MiVoice Office 250,"MiVoice Office 250, formerly Aastra 5000, is a VoIP unified communications platform offered by Canadian company Mitel for SMBs with mobile or dispersed workforces.",https://www.trustradius.com/products/mivoice-office-250/reviews,https://media.trustradius.com/vendor-logos/qI/61/XTPUVMKJ8758-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
NEC Univerge 3C,NEC's Univerge 3C is a VoIP and unified communications platform designed for larger enterprises.,https://www.trustradius.com/products/nec-univerge-3c/reviews,https://media.trustradius.com/vendor-logos/V7/VJ/1803CSTL26SA-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
MiCloud Flex,"MiCloud Flex is a cloud-based (or hybridized) unified communications service, from Canadian company Mitel.",https://www.trustradius.com/products/micloud-flex/reviews,https://media.trustradius.com/vendor-logos/qI/61/XTPUVMKJ8758-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Clearspan,"Clearspan, formerly Aastra Clearspan but now owned and supported by Mitel (since 2014), is a unified communications platform offered by the Canadian company as viable for enterprises with 1,500 to 100,000 potential users.",https://www.trustradius.com/products/clearspan/reviews,https://media.trustradius.com/vendor-logos/qI/61/XTPUVMKJ8758-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
OpenTouch Business Edition,"OpenTouch Business Edition from Alcatel-Lucent is a unified communications platform recommended with companies with up to 1500 employees, or 3000 connected devices.",https://www.trustradius.com/products/opentouch-business-edition/reviews,https://media.trustradius.com/vendor-logos/AN/e3/SDDKXU5C4FPX-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Dial Gate PBX Softswitch & Billing Server,Dial Gate PBX Softswitch & Billing Server is a telephony and VoIP software solution from Dialexia.,https://www.trustradius.com/products/dial-gate-pbx-softswitch--billing-server/reviews,https://media.trustradius.com/product-logos/aV/T9/5JMR6W0JO0LE.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Toshiba IPedge,"IPedge, from Toshiba is a business telephone and unified communications appliance.",https://www.trustradius.com/products/toshiba-ipedge/reviews,https://media.trustradius.com/vendor-logos/zA/8a/2JXKPG7TDGUG-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Dial Office IP-PBX,Dial Office IP-PBX is a telephony and VoIP software solution from Dialexia.,https://www.trustradius.com/products/dial-office-ip-pbx/reviews,https://media.trustradius.com/product-logos/Y9/rs/24LW4PLULEUS.png,0 Ratings,0 Reviews,No Reviews Found,No Score Found
MiVoice MX-ONE,"MiVoice MX-ONE, formerly Aastra MX-One, is now owned and supported by Mitel since the merger (January, 2014); it's a unified communications platform.",https://www.trustradius.com/products/mivoice-mx-one/reviews,https://media.trustradius.com/vendor-logos/qI/61/XTPUVMKJ8758-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Toshiba UCedge Unified Communications,"Toshiba offers the UCedge Unified Communications platform, for telephony, VoIP and conferencing, functional across disparate enterprise endpoints.",https://www.trustradius.com/products/toshiba-ucedge-unified-communications/reviews,https://media.trustradius.com/vendor-logos/zA/8a/2JXKPG7TDGUG-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
OpenScape Enterprise Express,"OpenScape Enterprise Express from Unify (formerly Siemens Enterprise Communications) is an all-in-one unified communications platform combining all modes of collaboration (video & web conferencing, messaging, and VOIP) under one platform, targeted at enterprises with 200 to 2000 employees.",https://www.trustradius.com/products/openscape-enterprise-express/reviews,https://media.trustradius.com/vendor-logos/5N/A7/7RX2SF5X2KVD-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
AVOXI Core,AVOXI Core is a hosted PBX solution from AVOXI.,https://www.trustradius.com/products/avoxi-core/reviews,https://media.trustradius.com/product-logos/lX/K1/SR0E3268LU6E.jpeg,0 Ratings,0 Reviews,No Reviews Found,No Score Found
OmniPCX Enterprise CS,"Alcatel-Lucent offers OmniPCX Enterprise Communications Server as a business telephony, VoIP, or unified communications platform, scalable to meet the needs of medium to large, and very large, enterprises. This offering integrates with Alcatel-Lucent's OpenTouch collaboration modules and components.",https://www.trustradius.com/products/omnipcx-enterprise-communications-server/reviews,https://media.trustradius.com/vendor-logos/AN/e3/SDDKXU5C4FPX-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
MightyCall,"MightyCall is a virtual phone system for small business and entrepreneurs.
According to the vendor, key benefits include:

Get a virtual US/CA Toll-Free phone number for your business
Make it easy for your site visitors & potential customers to get in touch
Automatically forward your customers’ …",https://www.trustradius.com/products/mightycall/reviews,https://media.trustradius.com/product-logos/eU/pR/7JLH8TEWVVAA-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
OpenScape Business,"OpenScape Business is a unified communications offering from Unify (formerly Siemens Enteprise Communications), combining telephony & VOIP, web & video conferencing, and messaging in one integrated platform targeted at SMBs.",https://www.trustradius.com/products/openscape-business/reviews,https://media.trustradius.com/vendor-logos/5N/A7/7RX2SF5X2KVD-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
ReliaTel,"ReliaTel is a Unified Communications platform with VoIP analytics & monitoring capabilities. It allows users to manage and support their IP, voice, and data network environments and service levels. ReliaTel is provided by Tone Software Coroporation.",https://www.trustradius.com/products/reliatel/reviews,https://media.trustradius.com/product-logos/uQ/Oc/B4CXWPO367HV-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
CallHub,"CallHub is designed to integrate with an organization’s CRM. According to the vendor this solution enables users to reach the right people the right time with their virtual call center, voice and SMS broadcasting software.  CallHub is available in over 200 countries. 
According to the vendor, key be…",https://www.trustradius.com/products/callhub/reviews,https://media.trustradius.com/product-logos/fl/6M/2BC86BU4FSJO-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Ajura,"Ajura is a mobile application developed by Ajura Pte Ltd. According to the vendor, this app allows users to save up to 90% on international mobile roaming. Using Ajura, one can receive calls on his or her home country mobile number. 
Ajura also helps users make low-cost calls via 3 options namely Aj…",https://www.trustradius.com/products/ajura/reviews,https://media.trustradius.com/product-logos/Mn/31/NP2W0LJL1BPZ-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
VerberyVBX,VerberyVBX is a cloud-based call center solution that is based on Twilio OpenVBX.,https://www.trustradius.com/products/verberyvbx/reviews,https://media.trustradius.com/product-logos/wi/Dd/S2A3VHDV4VWB-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
CenturyLink Hosted VoIP,"CenturyLink® Hosted VoIP delivers advanced call management, enables mobility, and supports hybrid SIP configurations. CenturyLink was recently recognized by Frost & Sullivan with the 2018 Growth Excellence Leadership award for VoIP and SIP services​. With PBX features and functionality without t…",https://www.trustradius.com/products/centurylink-hosted-voip/reviews,https://media.trustradius.com/vendor-logos/OK/UO/KTW2ZSTJRMM2-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Dixa,"Dixa, headquartered in Copenhagen, offers their VoIP and call center software, featuring browser based phone, email, and live chat, intelligent skill-based call routing and other agent management tools, queue management and prioritization, and other features designed to provide scalable customer sup…",https://www.trustradius.com/products/dixa/reviews,https://media.trustradius.com/vendor-logos/oS/pA/75KPUQAWPJWO-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
CenturyLink Traditional Voice Services,"CenturyLink® serves the voice business calling needs of customers of all sizes with a comprehensive portfolio that includes premise equipment, telephone numbers, local, long distance, toll free, and international services. A complete range of network solutions complement these services, supporting b…",https://www.trustradius.com/products/centurylink-traditional-voice-services/reviews,https://media.trustradius.com/vendor-logos/OK/UO/KTW2ZSTJRMM2-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Zebra Workforce Connect,"Zebra offers Workforce Connect, a VoIP and IP PBX solution supporting a mobile workforce.",https://www.trustradius.com/products/zebra-workforce-connect/reviews,https://media.trustradius.com/vendor-logos/B4/wD/4B614553TKDL-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Inteliquent,"Inteliquent headquartered in Plymouth offers a range of voice and communication services, including VoIP.",https://www.trustradius.com/products/inteliquent/reviews,https://media.trustradius.com/vendor-logos/Q1/ym/6XAC0K3GH2R9-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Kandy Link,"Ribbon Communications headquartered in Westford offers Kandy Link, a WebRTC Gateway to bridge VoIP services with web services.",https://www.trustradius.com/products/kandy-link/reviews,https://media.trustradius.com/product-logos/QG/Yz/15OH21DRCCGT-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
CallCenterHosting Predictive Dialer,The vendor reports that CallCenterHosting’s Predictive Dialer is an intelligent dialer hosted over the cloud that gives an edge to the outbound calling system. It is a computer telephony integration (CTI) that aims to help in connecting agents with prospects and enhancing the customer experience. Ac…,https://www.trustradius.com/products/callcenterhosting-predictive-dialer/reviews,https://media.trustradius.com/product-logos/Xe/ez/6QB7O8XWC3U7-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Axmor,"Axmor is a custom software development services company focused on providing IT solutions for tech startups and small businesses that require additional expertise across multiple IT fields. They help develop systems, automate business processes, and handle integration with third-party services.
Acco…",https://www.trustradius.com/products/axmor/reviews,https://media.trustradius.com/product-logos/Sr/09/AAUUMH4FCVWJ-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Cloud Softphone,"White-label softphone platform where you can create, test and deploy mobile and WebRTC endpoints in less than 30 minutes.Cloud Softphone is an application platform as a service (APaaS) that allows CSPs to create new bundles for their customers and saves them millions that would have been wasted on d…",https://www.trustradius.com/products/cloud-softphone/reviews,https://media.trustradius.com/product-logos/5Y/mx/QSG2M2PT9B7K-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
NUACOM,"NUACOM headquartered in Ireland offers a VoIP phone system providing unlimited concurrent calls, unlimited virtual queue, auto-attendant, call recording, and other features.",https://www.trustradius.com/products/nuacom/reviews,https://media.trustradius.com/product-logos/Zj/Ri/WMK1QT0GI7SV-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Yeastar Linkus Unified Communications App,"Coordinated with on-premises and cloud PBX, Yeastar Linkus Unified Communications App provides users with access to enterprise-grade telephony features across all devices, and gives you softphone, instant messaging, presence, file sharing and CRM integration facilities.",https://www.trustradius.com/products/yeastar-linkus-unified-communications-app/reviews,https://media.trustradius.com/product-logos/mO/tp/T1C0S0JLPBTE-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Yeastar S-Series VoIP PBX,"Yeastar states that their S-Series VoIP PBX appliance is easy to use, flexible and full-featurd for small and medium sized businesses, and is designed to help them make a leap in efficiency and cost-savings.

With the related Linkus Unified Communications App, Linkus' Softphone App, the features of …",https://www.trustradius.com/products/yeastar-phone-system/reviews,https://media.trustradius.com/product-logos/mO/tp/ZW2IT2ST1E60-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Yeastar K2 VoIP PBX,"The Yeastar K2 VoIP PBX is a large capacity pure hardware and software IP-PBX designed for medium and large enterprises and supports 2000 users and 500 concurrent calls. Promising robust enterprise-level Unified Communications features, Yeastar K2 is designed to streamline the communications and enh…",https://www.trustradius.com/products/yeastar-k2-voip-pbx/reviews,https://media.trustradius.com/product-logos/mO/tp/KQLP37K3JN5X-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Cebod Telecom,"Cebod Telecom provides voip-based telephony solutions to all types of businesses, small or large. Cebod Telecom’s VoIP phone solutions provide businesses with instant access to their telephone systems from anywhere and at all times. Cebod Telecom offers the Pay-Per-Line business pricing model where …",https://www.trustradius.com/products/cebod-telecom/reviews,https://media.trustradius.com/product-logos/81/Ph/UMS8W1LUPTPG-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Vitel Global Cloud PBX System,"Vitel Global headquartered in Piscataway is a hosted VoIP service provider offering Business VoIP and Hosted PBX systems for businesses of any size, including small businesses, who can enjoy high end VoIP phone and PBX system.",https://www.trustradius.com/products/vitel-global-cloud-pbx-system/reviews,https://media.trustradius.com/vendor-logos/vk/K4/LSOKKRN2NFLF-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Text Free,"Text Free is a free texting app boasting quick and easy setup, as well as free and unlimited texting, and calling minutes that are free to earn and cheap to buy. Users choose a custom phone number with a desired area code, and can also use its voicemail service when not available to answer calls.",https://www.trustradius.com/products/pinger-text-free/reviews,https://media.trustradius.com/product-logos/49/1X/0H2NV20X5957-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Vodia PBX Phone System,"Vodia is a software PBX available on Windows, Linux, and offering advanced features of a full-featured PBX including calling queues, auto attendants, call forwarding, parking, and others. Vodia also offers Multi-Tenancy where users can host Vodia on a dedicated VM ( Virtual Machine) in the cloud or …",https://www.trustradius.com/products/vodia-pbx/reviews,https://media.trustradius.com/product-logos/qx/az/BWG7SEEKUTO3-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Claranet Hosted Voice,"Hosted Voice, Claranet's hosted VoIP offering provides a complete telephone system, incorporating physical telephone handsets, soft phones and easy integration with smartphones and tablets, with no need to install dedicated hardware.",https://www.trustradius.com/products/claranet-hosted-voice/reviews,https://media.trustradius.com/vendor-logos/oj/Ul/UIFLZIN2URJA-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
VoIP.ms,"VoIP.ms is a Canadian voice-over-internet protocol (VoIP) bring-your-own-device provider headquartered in Canada with over 80,000 customers. VoIP.ms provides a vast range of standard telephony features, as well as enhanced communication features to simplify both business and residential communicatio…",https://www.trustradius.com/products/voip-ms/reviews,https://media.trustradius.com/product-logos/6V/nq/RI2Z37D1R1U8-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
DID Logic,"DID Logic is an international provider of VoIP products and services such as local DID numbers and SIP trunks. DID Logic offers numbers from 139 countries to project trustworthiness and reliability to callees, reaching jurisdictions others can’t, aiming to beat competitors with total latency on call…",https://www.trustradius.com/products/did-logic/reviews,https://media.trustradius.com/product-logos/xL/Rg/BA17OODS72E2-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
FusionWorks Suite,Fusion Connect headquartered in Atlanta offers their hosted PBX as an All-in-One Cloud Phone Service that brings together in the cloud advanced communications and collaboration. The vendor states their FusionWorks Suite uses an internet connection and the cloud to provide businesses with reliable te…,https://www.trustradius.com/products/fusionworks-suite/reviews,https://media.trustradius.com/vendor-logos/Lj/8i/67ZTHZT5M334-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Intrado VoiceMaxx,"VoiceMaxx CE from Intrado is presented as a flexible, hosted enterprise voice platform that combines advanced PBX functionality, custom call management tools, and unparalleled client support – all with an integrated Cisco unified communications and collaboration experience.",https://www.trustradius.com/products/intrado-voicemaxx/reviews,https://media.trustradius.com/vendor-logos/TW/ME/EDCIZ7QPIS3V-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
OnSIP,"OnSIP's range of hosted VoIP solutions are described by the vendor as simple to set up and easy to use, so users can get on with the business of connecting with customers. OnSIP is an Intrado solution.",https://www.trustradius.com/products/onsip/reviews,https://media.trustradius.com/product-logos/t3/z1/3NIM4RKU56HK-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Yeastar P-Series PBX System,"More than just a PBX, Yeastar P-Series PBX System is a converged system purposed-built for SMEs' business communications. As a “PBX-Plus-More” solution, the P-Series unify voice, video, applications, and collaboration together, helping SMEs to enable extra productivity, fill the UC gap, and accompli…",https://www.trustradius.com/products/yeastar-p-series-pbx-system/reviews,https://media.trustradius.com/product-logos/qm/fn/MADCFGW2K7KS-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Blueface,"Blueface, a Comcast Business Company, is a Unified Communications as a Service Provider (UCaaS) offering a cloud business phone and SIP trunking for small to enterprise size business customers.",https://www.trustradius.com/products/blueface/reviews,https://media.trustradius.com/vendor-logos/fP/ya/JT66TS6MXLE6-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Star2Star Business Voice,"Business Voice, from Star2Star, aims to provide superior VoIP quality, reliability, and flexibility for customers in need of an intuitive, easily deployed solution. Optionally, the Business Voice+ solution offers a cloud-based or on-premise Unified Communications solution designed to ensure unparall…",https://www.trustradius.com/products/star2star-business-voice/reviews,https://media.trustradius.com/vendor-logos/Gq/Dv/T2FNOR9TTPAM-180x180.JPEG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
Kamailio SIP Server,"The Kamailio SIP Server, formerly known as OpenSER or SER, is an open source VoIP and communications platform.",https://www.trustradius.com/products/kamailio-sip-server/reviews,https://media.trustradius.com/product-logos/fh/NS/FMRHEUC8CAHC-180x180.PNG,0 Ratings,0 Reviews,No Reviews Found,No Score Found
